InterPro Entry Accession	InterPro Entry Name	InterPro Entry Type
IPR003514	Microviridae F protein	Family
IPR003515	Major spike protein G	Family
IPR003516	Fanconi anaemia group A protein	Family
IPR003517	Cysteine-rich outer membrane protein 3, Chlamydia	Family
IPR003518	Salmonella plasmid virulence SpvA	Family
IPR003519	OspF/SpvC	Family
IPR003520	Salmonella/Shigella invasion protein E	Family
IPR003521	Methylosome subunit pICln	Family
IPR003522	Type III secretion system outer membrane pore YscC/HrcC	Family
IPR003377	Cornichon	Family
IPR003523	Transcription factor COE	Family
IPR003524	Phospho-N-acetylmuramoyl-pentapeptide transferase	Family
IPR003526	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Domain
IPR003527	Mitogen-activated protein (MAP) kinase, conserved site	Conserved_site
IPR003528	Long hematopoietin receptor, single chain, conserved site	Conserved_site
IPR002410	Peptidase S33	Family
IPR002376	Formyl transferase, N-terminal	Domain
IPR002384	Osteocalcin/matrix Gla protein	Family
IPR002386	Amicyanin	Family
IPR002387	Plastocyanin	Family
IPR002388	Annexin, type I	Family
IPR002390	Annexin, type III	Family
IPR002392	Annexin, type V	Family
IPR002394	Nicotinic acetylcholine receptor	Family
IPR002397	Cytochrome P450, B-class	Family
IPR002398	Peptidase C14, caspase precursor p45	Family
IPR002401	Cytochrome P450, E-class, group I	Family
IPR002402	Cytochrome P450, E-class, group II	Family
IPR002405	Inhibin, alpha subunit	Family
IPR002406	Natriuretic peptide, C type	Family
IPR002373	cAMP/cGMP-dependent protein kinase	Family
IPR002374	cGMP-dependent kinase	Family
IPR002338	Haemoglobin, alpha	Family
IPR002339	Haemoglobin, pi	Family
IPR014349	Rieske iron-sulphur protein	Family
IPR002344	Lupus La protein	Family
IPR002345	Lipocalin	Family
IPR002347	Glucose/ribitol dehydrogenase	Family
IPR002351	Nitrophorin domain	Domain
IPR002352	Eosinophil major basic protein	Family
IPR002354	Interleukin-4	Family
IPR002360	Involucrin	Family
IPR002361	Antenna complex, alpha subunit conserved site	Conserved_site
IPR002363	Ribosomal protein L10, eubacterial, conserved site	Conserved_site
IPR002365	Terpene synthase, conserved site	Conserved_site
IPR002366	Defensin propeptide	Domain
IPR002369	Integrin beta subunit, N-terminal	Domain
IPR002371	Flagellar hook-associated protein, FlgK	Family
IPR002372	Pyrrolo-quinoline quinone repeat	Repeat
IPR002336	Erythrocruorin	Family
IPR002337	Haemoglobin, beta	Family
IPR002301	Isoleucine-tRNA ligase	Family
IPR002302	Leucine-tRNA ligase, bacterial/mitochondrial	Family
IPR002305	Aminoacyl-tRNA synthetase, class Ic	Family
IPR002307	Tyrosine-tRNA ligase	Family
IPR024647	DNA polymerase alpha catalytic subunit, N-terminal domain	Domain
IPR002310	Glycine-tRNA ligase, alpha subunit	Family
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	Family
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ H/ P/ S), conserved domain	Domain
IPR002316	Proline-tRNA ligase, class IIa	Family
IPR002317	Serine-tRNA ligase, type1	Family
IPR002319	Phenylalanyl-tRNA synthetase	Domain
IPR002321	Cytochrome c, class II	Family
IPR002323	Cytochrome c, class IE	Family
IPR002325	Cytochrome f	Family
IPR002326	Cytochrome c1	Family
IPR002328	Alcohol dehydrogenase, zinc-type, conserved site	Conserved_site
IPR002330	Lipoprotein lipase	Family
IPR002331	Pancreatic lipase	Family
IPR002333	Hepatic lipase	Family
IPR002335	Myoglobin	Family
IPR002299	Porin, Neisseria sp. type	Family
IPR002300	Aminoacyl-tRNA synthetase, class Ia	Domain
IPR002264	Gap junction alpha-5 protein (Cx40)	Family
IPR002265	Gap junction alpha-6 protein (Cx45)	Family
IPR002266	Gap junction alpha-8 protein (Cx50)	Family
IPR002267	Gap junction beta-1 protein (Cx32)	Family
IPR002268	Gap junction beta-2 protein (Cx26)	Family
IPR002269	Gap junction beta-3 protein (Cx31)	Family
IPR002271	Gap junction beta-5 protein (Cx30.3)	Family
IPR000499	Endothelin receptor family	Family
IPR000500	Connexin	Family
IPR000502	Muscarinic acetylcholine receptor M5	Family
IPR000503	Histamine H2 receptor	Family
IPR000505	5-Hydroxytryptamine 1D receptor	Family
IPR000507	Beta 1 adrenoceptor	Family
IPR000511	Cytochrome c/c1 haem-lyase	Family
IPR000514	Glycoside hydrolase, family 39	Family
IPR000516	Nickel-dependent hydrogenase b-type cytochrome subunit	Family
IPR000518	Metallothionein, family 14, prokaryote	Family
IPR000486	Extradiol ring-cleavage dioxygenase, class I /II	Conserved_site
IPR000451	NF-kappa-B/Rel/Dorsal	Family
IPR000452	Kappa opioid receptor	Family
IPR000453	Chorismate synthase	Family
IPR000454	ATPase, F0 complex, subunit C	Family
IPR000455	5-Hydroxytryptamine 2A receptor	Family
IPR000456	Ribosomal protein L17	Family
IPR000460	Neuroligin	Family
IPR000462	CDP-alcohol phosphatidyltransferase	Family
IPR000465	XPA	Family
IPR000466	Adenosine A3 receptor	Family
IPR000467	G-patch domain	Domain
IPR000469	G-protein alpha subunit, group 12	Family
IPR000470	CbxX/CfqX, monofunctional	Family
IPR000473	Ribosomal protein L36	Family
IPR000475	Retroviral Vif (Viral infectivity) protein	Family
IPR000477	Reverse transcriptase	Domain
IPR000480	Glutelin	Family
IPR023120	Winged helix-turn-helix transcription repressor, HrcA, inserted dimerising domain	Domain
IPR001416	CXC chemokine receptor 7	Family
IPR001418	Opioid receptor	Family
IPR001419	HMW glutenin	Family
IPR001420	X opioid receptor	Family
IPR001421	ATPase, F0 complex, subunit 8, mitochondrial, Metazoan	Family
IPR001423	Lysophospholipase patatin, conserved site	Conserved_site
IPR001425	Rhodopsin, archaeal/bacterial/fungal	Family
IPR001429	P2X purinoreceptor	Family
IPR001431	Peptidase M16, zinc-binding site	Binding_site
IPR001433	Oxidoreductase FAD/NAD(P)-binding	Domain
IPR001435	Adenosine A2B receptor	Family
IPR001440	Tetratricopeptide TPR-1	Repeat
IPR001442	Collagen IV, non-collagenous	Repeat
IPR001444	Flagellar basal body rod protein, N-terminal	Domain
IPR001446	5-lipoxygenase-activating protein	Family
IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	Conserved_site
IPR001376	Gliadin, alpha/beta	Family
IPR001377	Ribosomal protein S6e	Family
IPR001378	Uncharacterised domain UPF0066	Domain
IPR001379	Egg lysin (Sperm-lysin)	Family
IPR001380	Ribosomal protein L13e	Family
IPR001381	Dehydroquinase class I	Domain
IPR001382	Glycoside hydrolase, family 47	Family
IPR001384	Peptidase M35, deuterolysin	Family
IPR001388	Synaptobrevin	Domain
IPR001389	Flocculin	Repeat
IPR001393	Calsequestrin	Family
IPR000634	Serine/threonine dehydratase, pyridoxal-phosphate-binding site	Binding_site
IPR000642	Peptidase M41	Domain
IPR000645	Type II secretion system protein N, conserved site	Conserved_site
IPR000647	CTF transcription factor/nuclear factor 1	Family
IPR000649	Initiation factor 2B-related	Family
IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal	Domain
IPR000654	G-protein alpha subunit, group Q	Family
IPR000662	Capsid protein VP1,Polyomavirus	Family
IPR000665	Haemagglutinin-neuraminidase	Family
IPR000667	Peptidase S13, D-Ala-D-Ala carboxypeptidase C	Family
IPR000669	Mannitol dehydrogenase	Family
IPR000672	Tetrahydrofolate dehydrogenase/cyclohydrolase	Family
IPR000681	Beta 3 adrenoceptor	Family
IPR000682	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Family
IPR000686	Fanconi anaemia group C protein	Family
IPR000688	Hydrogenase nickel incorporation protein HypA/HybF	Family
IPR000690	Zinc finger, C2H2-type matrin	Domain
IPR000692	Fibrillarin	Family
IPR000696	Peptidase A6, nodavirus coat protein	Family
IPR000699	Intracellular calcium-release channel	Domain
IPR000702	Ribosomal protein L6	Family
IPR000704	Casein kinase II, regulatory subunit	Family
IPR000706	N-acetyl-gamma-glutamyl-phosphate reductase, type 1	Family
IPR000708	Prostanoid EP1 receptor	Family
IPR000716	Thyroglobulin type-1	Domain
IPR000717	Proteasome component (PCI) domain	Domain
IPR000720	Peptidyl-glycine alpha-amidating monooxygenase	Family
IPR000721	Retroviral nucleocapsid protein Gag	Family
IPR000725	Olfactory receptor	Family
IPR000727	Target SNARE coiled-coil domain	Domain
IPR000730	Proliferating cell nuclear antigen, PCNA	Family
IPR000737	Proteinase inhibitor I7, squash	Family
IPR000741	Fructose-bisphosphate aldolase, class-I	Family
IPR000744	NSF attachment protein	Family
IPR000745	Hepatitis C virus non-structural protein NS4a	Domain
IPR000754	Ribosomal protein S9	Family
IPR000755	Peptidase M15D, VanX D-ala-D-ala dipeptidase	Family
IPR000756	Diacylglycerol kinase, accessory domain	Domain
IPR000758	Virulence-related outer membrane protein	Family
IPR000761	Melanocyte-stimulating hormone receptor	Family
IPR000763	Catalase-peroxidase haem	Family
IPR000766	Galactose-1-phosphate uridyl transferase, class II	Family
IPR000768	NAD:arginine ADP-ribosyltransferase, ART	Family
IPR000771	Ketose-bisphosphate aldolase, class-II	Family
IPR000773	Granulocyte-macrophage colony-stimulating factor	Family
IPR000774	Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal	Domain
IPR000781	Enhancer of rudimentary	Family
IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal	Domain
IPR000791	GPR1/FUN34/yaaH	Family
IPR000792	Transcription regulator LuxR, C-terminal	Domain
IPR000795	Elongation factor, GTP-binding domain	Domain
IPR000797	Bunyavirus non-structural protein NS-s	Family
IPR000800	Notch domain	Domain
IPR000804	Clathrin adaptor complex, small chain	Conserved_site
IPR000806	Rab GDI protein	Family
IPR000808	Mrp, conserved site	Conserved_site
IPR000810	Cannabinoid receptor type 1	Family
IPR000812	Transcription factor TFIIB	Family
IPR000815	Mercuric reductase	Family
IPR000816	Peptidase C15, pyroglutamyl peptidase I	Family
IPR002921	Lipase, class 3	Family
IPR002922	Thiazole biosynthetic enzyme Thi4 family	Family
IPR002924	Adenovirus small t-antigen, E1B 19kDa protein	Family
IPR002925	Dienelactone hydrolase	Domain
IPR023272	Cytochrome C oxidase, subunit VIIB, domain	Domain
IPR002928	Myosin tail	Domain
IPR002929	Potato leaf roll virus readthrough protein	Family
IPR002930	Glycine cleavage H-protein	Family
IPR002931	Transglutaminase-like	Domain
IPR002932	Glutamate synthase, central-C	Domain
IPR002933	Peptidase M20	Family
IPR002934	Nucleotidyl transferase domain	Domain
IPR002935	O-methyltransferase, family 3	Family
IPR002937	Amine oxidase	Domain
IPR002938	Monooxygenase, FAD-binding	Domain
IPR002939	Chaperone DnaJ, C-terminal	Domain
IPR002941	DNA methylase N-4/N-6	Domain
IPR002942	RNA-binding S4 domain	Domain
IPR003064	Norrie disease protein	Family
IPR002562	3'-5' exonuclease domain	Domain
IPR003060	Pyocin S killer protein	Family
IPR003061	Colicin E1 (microcin) immunity protein	Family
IPR003057	Invertebrate colouration protein	Family
IPR003054	Keratin, type II	Family
IPR003051	GPCR, family 2, corticotropin releasing factor receptor	Family
IPR003053	GPCR, family 2, corticotropin releasing factor receptor, type 2	Family
IPR003047	P2X4 purinoceptor	Family
IPR003044	P2X1 purinoceptor	Family
IPR001251	CRAL-TRIO domain	Domain
IPR000494	EGF receptor, L domain	Domain
IPR002944	Sodium:neurotransmitter symporter, inebriated	Family
IPR002945	Glucose transporter, type 3 (GLUT3)	Family
IPR002946	Intracellular chloride channel	Family
IPR002948	Thiazide-sensitive Na-K-Cl co-transporter	Family
IPR002949	Cytochrome P450, E-class, CYP24A, mitochondrial	Family
IPR002970	Tick histamine-binding protein	Family
IPR005194	Glycoside hydrolase, family 65, C-terminal	Domain
IPR005197	Glycoside hydrolase, family 71	Family
IPR005198	Glycoside hydrolase, family 76	Family
IPR005201	Glycoside hydrolase, family 85	Domain
IPR005205	Herpesvirus ICP4-like protein, C-terminal	Domain
IPR005206	Herpesvirus ICP4-like protein, N-terminal	Domain
IPR005210	Herpesvirus UL36 tegument protein	Family
IPR005211	Herpesvirus glycoprotein N	Family
IPR005372	Uncharacterised protein family UPF0182	Family
IPR005375	Ubiquitin-fold modifier 1	Family
IPR005377	Vacuolar protein sorting-associated protein 26	Family
IPR005331	Sulfotransferase	Family
IPR005382	CC chemokine receptor 10	Family
IPR005383	CC chemokine receptor like 1	Family
IPR005384	Duffy antigen/chemokine receptor	Family
IPR005385	Lysophosphatidic acid receptor EDG-7	Family
IPR013273	Peptidase M12B, ADAM-TS	Family
IPR005386	EDG-8 sphingosine 1-phosphate receptor	Family
IPR005387	CX3C chemokine receptor 1	Family
IPR005388	G2A lysophosphatidylcholine receptor	Family
IPR006413	Calcium-transporting P-type ATPase, subfamily IIA, PMR1-type	Family
IPR006414	Cation-transporting P-type ATPase, subfamily IID	Family
IPR006415	Magnesium-transporting P-type ATPase, subfamily IIIB	Family
IPR006417	Nicotinamide-nucleotide adenylyltransferase	Domain
IPR006418	Nicotinamide-nucleotide adenylyltransferase, archaeal type	Family
IPR006419	Nicotinamide mononucleotide transporter PnuC	Family
IPR006420	NAD pyrophosphatase/5-nucleotidase NadN	Family
IPR006421	Glycogen debranching enzyme, metazoa	Family
IPR006422	D-erythrose-4-phosphate dehydrogenase	Family
IPR006423	5-nucleotidase lipoprotein e(P4)	Family
IPR006424	Glyceraldehyde-3-phosphate dehydrogenase, type I	Family
IPR006425	Glucoamylase, bacterial	Family
IPR006426	Asparagine synthase, glutamine-hydrolyzing	Family
IPR006427	Bacteriophage 16-3, portal protein	Family
IPR006428	Portal protein, SPP1-type	Family
IPR006429	Bacteriophage lambda, GpB, portal	Family
IPR006430	Phage portal protein, PBSX family	Family
IPR006431	Bacteriophage lambda, GpH, tail tape measure, C-terminal	Domain
IPR006432	Portal protein, putative, A118-type	Family
IPR006433	Prohead protease, HK97 family	Family
IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic	Family
IPR006435	HAD-superfamily hydrolase, subfamily IF, YfhB	Family
IPR006436	Glyceraldehyde-3-phosphate dehydrogenase, type II	Family
IPR006437	Bacteriophage terminase, large subunit	Family
IPR006438	HAD hydrolase, TIGR01548 family	Family
IPR006439	HAD hydrolase, subfamily IA	Family
IPR006440	Death on curing protein	Family
IPR006441	Bacteriophage P2, GpN, major capsid	Family
IPR006442	Type II toxin-antitoxin system, antitoxin Phd/YefM	Family
IPR006443	Formate dehydrogenase, alpha subunit, anaerobic	Family
IPR006444	Bacteriophage 16-3, major capsid protein	Family
IPR006445	Phage-associated protein HI1409	Family
IPR006446	Rhamnosyltransferase	Family
IPR006447	Myb domain, plants	Domain
IPR006448	Streptococcus phage 7201, Orf21	Family
IPR006449	Farnesyl-diphosphate farnesyltransferase	Family
IPR006450	Bacteriophage HK022, Gp6	Family
IPR006451	Glycogen debranching enzyme, archaeal type	Family
IPR006452	Formate dehydrogenase accessory protein	Family
IPR006454	S-layer protein	Family
IPR006455	Homeodomain, ZF-HD class	Domain
IPR006456	ZF-HD homeobox protein, Cys/His-rich dimerisation domain	Domain
IPR006457	S-layer family duplication domain	Domain
IPR006458	Ovate  protein family, C-terminal	Domain
IPR006459	Uncharacterised protein family UPF0497, trans-membrane plant subgroup	Family
IPR006460	Protein of unknown function DUF617, plant	Family
IPR006461	Uncharacterised protein family Cys-rich	Family
IPR006462	Protein of unknown function DUF626, Arabidopsis thaliana	Family
IPR006509	Splicing factor, CC1-like	Family
IPR006510	Zinc finger, lateral root primordium type 1	Domain
IPR006511	Lateral Root Primordium type 1, C-terminal	Domain
IPR006512	YidE/YbjL duplication	Domain
IPR006513	Conserved hypothetical protein CHP01626, YtfJ	Family
IPR006514	Xylan biosynthesis protein IRX15/IRX15L	Family
IPR006515	Polyadenylate binding protein, human types 1, 2, 3, 4	Family
IPR006516	Bacteriophage/plasmid replication protein, gene II/X	Family
IPR006517	Archaeophage PsiM2, terminase large subunit	Family
IPR007224	Transcription initiation factor Rrn11	Family
IPR007225	Exocyst complex subunit Sec15-like	Family
IPR007226	SAG	Family
IPR007227	Cell shape-determining protein MreD	Family
IPR007228	Domain of unknown function DUF390	Domain
IPR007229	Nicotinate phosphoribosyltransferase-related	Family
IPR007230	Peptidase S59, nucleoporin	Domain
IPR007231	Nucleoporin interacting component Nup93/Nic96	Family
IPR007232	Rad52/22 double-strand break repair protein	Family
IPR007233	Sybindin-like protein	Family
IPR007234	Vps53-like, N-terminal	Domain
IPR007235	Glycosyl transferase, family 28, C-terminal	Domain
IPR007236	SlyX	Family
IPR007237	CD20-like	Family
IPR007238	DNA primase large subunit, eukaryotic/archaeal	Family
IPR007239	Autophagy-related protein 5	Family
IPR007240	Autophagy-related protein 17	Family
IPR007241	Autophagy-related protein 9	Family
IPR007242	Ubiquitin-like protein Atg12	Family
IPR007243	Beclin family	Family
IPR007244	NatC N(alpha)-terminal acetyltransferase, Mak10 subunit	Family
IPR007245	GPI transamidase component PIG-T	Family
IPR007246	Gaa1-like, GPI transamidase component	Family
IPR007247	Ureidoglycolate hydrolase	Family
IPR007248	Mpv17/PMP22	Family
IPR007249	Dopey, N-terminal	Domain
IPR007250	Heat shock protein 9/12	Family
IPR007251	Low affinity iron permease, Fet4	Family
IPR007252	Nuclear pore protein 84/107	Family
IPR007253	Putative cell wall binding repeat 2	Repeat
IPR007254	Protein of unknown function DUF373	Family
IPR007255	Conserved oligomeric Golgi complex subunit 8	Family
IPR007256	Protein of unknown function DUF369	Family
IPR007257	GINS complex, subunit Psf2	Family
IPR007258	Vps52/Sac2	Family
IPR007259	Spc97/Spc98	Family
IPR007260	Putative N-acetylmannosamine-6-phosphate epimerase	Family
IPR007262	Vacuolar protein sorting 55	Family
IPR007263	Putative thiol-disulphide oxidoreductase DCC	Family
IPR007264	H/ACA ribonucleoprotein complex, subunit Nop10	Family
IPR007265	Conserved oligomeric Golgi complex, subunit 3	Family
IPR007266	Endoplasmic reticulum oxidoreductin 1	Family
IPR006496	Conserved hypothetical protein CHP01609, Plasmodium spp	Family
IPR006497	Bacteriophage lambda, GpO, N-terminal	Domain
IPR006498	Bacteriophage P2, FII, major tail tube protein	Family
IPR006499	Reticulocyte binding protein	Family
IPR006500	DNA primase, phage/plasmid	Domain
IPR006501	Pectinesterase inhibitor domain	Domain
IPR006502	Protein of unknown function DUF506, plant	Family
IPR006503	Nitrogenase-associated protein	Family
IPR005850	Galactose-1-phosphate uridyl transferase, C-terminal	Domain
IPR005793	Formyl transferase, C-terminal	Domain
IPR005794	Methionyl-tRNA formyltransferase	Family
IPR005804	Fatty acid desaturase, type 1	Domain
IPR005829	Sugar transporter, conserved site	Conserved_site
IPR005823	Ribosomal protein L13, bacterial-type	Family
IPR005852	Phosphoglucomutase, alpha-D-glucose specific	Family
IPR005854	Amidophosphoribosyl transferase	Family
IPR005855	Glucosamine-fructose-6-phosphate aminotransferase, isomerising	Family
IPR005856	Cysteine synthase K/M	Family
IPR005857	Cystathionine beta-synthase	Family
IPR005858	Cysteine synthase B	Family
IPR005859	Cysteine synthase A	Family
IPR005860	L-threonine-O-3-phosphate decarboxylase	Family
IPR005861	Histidinol-phosphate aminotransferase family	Family
IPR005862	Phosphoribosylglycinamide formyltransferase 2	Family
IPR005863	UDP-MurNAc-pentapeptide synthetase	Family
IPR005864	ATPase, F0 complex, subunit B, bacterial	Family
IPR005865	Tetrahydromethanopterin S-methyltransferase, subunit C	Family
IPR005866	Tetrahydromethanopterin S-methyltransferase, subunit G	Family
IPR005867	Photosystem II protein D1	Family
IPR005868	Photosystem II PsbD/D2, reaction centre	Family
IPR005869	Photosystem II PsbC	Family
IPR005870	Cytochrome b6/f complex, subunit IV	Family
IPR005871	Photosynthetic reaction centre, L subunit	Family
IPR005872	Archaeal/bacterial translation initiation factor SUI1	Family
IPR005873	Density-regulated protein DRP1	Family
IPR005874	Eukaryotic translation initiation factor SUI1	Family
IPR005875	Phosphoribosylaminoimidazole carboxylase, ATPase subunit	Domain
IPR005876	Cobalt transport protein ATP-binding subunit	Family
IPR005877	YSIRK Gram-positive signal peptide	Domain
IPR005878	Ribosomal protein L1, bacterial-type	Family
IPR005879	Ribosomal protein L1, mitochondrial	Family
IPR005880	Ribosomal protein L2, bacterial/organellar-type	Family
IPR005881	Serine O-acetyltransferase	Family
IPR005882	Bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate N-acetyltransferase	Family
IPR005883	Type IV pilus assembly protein PilM	Family
IPR005884	Fumarate reductase, flavoprotein subunit	Family
IPR005885	Conserved hypothetical protein CHP01177	Family
IPR005886	UDP-glucose 4-epimerase GalE	Family
IPR005887	Alpha-1,2-mannosidase, putative	Family
IPR005888	dTDP-glucose 4,6-dehydratase	Family
IPR005889	Nitrate transport permease	Family
IPR005890	Nitrate transport ATP-binding subunit C/D	Family
IPR005891	DevC protein	Family
IPR005892	Glycine betaine transport ATP-binding subunit	Family
IPR005893	Spermidine/putrescine ABC transporter, ATP-binding subunit	Family
IPR005894	Daunorubicin resistance ABC transporter ATP-binding subunit DrrA	Family
IPR005895	ABC transporter, haem export, CcmA	Family
IPR005896	Glucan exporter ATP-binding protein, NdvA	Family
IPR005897	Peptidase C39, ABC-type bacteriocin transporter	Family
IPR005898	Cyclic peptide transporter	Family
IPR005899	Sodium ion-translocating decarboxylase	Family
IPR005900	6-phosphogluconolactonase, DevB-type	Domain
IPR005901	GLPGLI family protein	Family
IPR005902	Putative DNA-binding protein, HU-related	Family
IPR005903	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase	Family
IPR005904	Hypoxanthine phosphoribosyl transferase	Family
IPR007004	Beet necrotic yellow vein virus, p31	Family
IPR007005	XAP5 protein	Family
IPR007007	Ninjurin	Family
IPR007008	Poxvirus A6	Family
IPR007009	SHQ1 protein	Domain
IPR007010	Poly(A) polymerase, RNA-binding domain	Domain
IPR007011	Seed maturation protein	Domain
IPR007012	Poly(A) polymerase, central domain	Domain
IPR007013	DNA replication accessory factor, herpesviridae	Family
IPR007014	FUN14	Family
IPR007015	DNA polymerase V	Family
IPR007016	O-antigen ligase-related	Family
IPR007018	Mediator complex, subunit Med6	Family
IPR007019	Surfeit locus 6	Family
IPR007020	Bacteriophage r1t, Orf18	Family
IPR007021	Domain of unknown function DUF659	Domain
IPR007022	Gem-associated protein 2	Family
IPR007023	Ribosomal biogenesis regulatory protein	Family
IPR007024	BLUF domain	Domain
IPR007025	Late expression factor 8 (LEF-8)	Family
IPR007026	CC domain	Domain
IPR007027	Poxvirus F11	Family
IPR023116	Phosphonoacetate hydrolase, insert domain	Domain
IPR007029	YHS domain	Domain
IPR007031	Poxvirus VLTF3, late transcription factor	Family
IPR007032	Poxvirus A51	Family
IPR007033	Transcriptional activator, plants	Family
IPR007034	Ribosome biogenesis protein BMS1/TSR1, C-terminal	Domain
IPR007035	Peptidase M55, D-aminopeptidase	Family
IPR007036	Succinylglutamate desuccinylase/aspartoacylase	Family
IPR007037	Siderophore-interacting protein	Domain
IPR007038	Hydrogenase/Urease accessory protein HupE/UreJ protein	Family
IPR007039	Conjugal transfer TrbC/type IV secretion VirB2	Family
IPR007040	Ribosome modulation factor	Family
IPR007041	Arginine N-succinyltransferase Ast/AOST	Family
IPR007042	Arsenite-resistance protein 2	Domain
IPR007044	Cyclodeaminase/cyclohydrolase	Domain
IPR007045	5-keto 4-deoxyuronate isomerase	Family
IPR007046	RNA polymerase sigma factor 54, core-binding	Domain
IPR007047	Flp/Fap pilin component	Family
IPR007048	GpW/Gp25/anti-adapter protein IraD	Family
IPR007049	Carbohydrate-selective porin OprB	Family
IPR007050	Bacterioopsin activator-type, HTH domain	Domain
IPR007051	Cysteine/histidine-rich domain	Domain
IPR007052	CS domain	Domain
IPR007053	LRAT-like domain	Domain
IPR007054	Lysis protein S	Family
IPR007055	BON domain	Domain
IPR007059	DMSO reductase anchor subunit (DmsC)	Family
IPR007060	Septum formation initiator	Family
IPR007061	Protein of unknown function DUF664	Family
IPR007062	Protein phosphatase inhibitor 2 (IPP-2)	Family
IPR007064	NMD3	Family
IPR007065	HPP	Family
IPR007066	RNA polymerase Rpb1, domain 3	Domain
IPR007067	Tail sheath protein	Family
IPR007087	Zinc finger, C2H2	Domain
IPR007069	Transposase, IS801/IS1294	Family
IPR000481	GPCR fungal pheromone B alpha receptor	Family
IPR000482	5-Hydroxytryptamine 2B receptor	Family
IPR000485	AsnC-type HTH domain	Domain
IPR000449	Ubiquitin-associated domain/translation elongation factor EF-Ts, N-terminal	Domain
IPR000415	Nitroreductase-like	Domain
IPR000416	Haemagglutinin outer capsid protein VP4	Family
IPR000417	Hydroxyethylthiazole kinase	Domain
IPR000418	Ets domain	Domain
IPR000422	3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	Family
IPR000424	Primosome PriB/single-strand DNA-binding	Family
IPR000426	Proteasome, alpha-subunit, N-terminal domain	Domain
IPR000428	Copper ion binding protein	Family
IPR000429	Proteinase inhibitor I14, hirudin	Family
IPR000431	5-Hydroxytryptamine 5B receptor	Family
IPR000435	Tektin	Family
IPR000436	Sushi/SCR/CCP	Domain
IPR000439	Ribosomal protein L15e	Family
IPR023613	Nitrophorin	Family
IPR000445	Helix-hairpin-helix motif	Conserved_site
IPR000448	Rhabdovirus nucleocapsid	Domain
IPR000377	5-Hydroxytryptamine 2C receptor	Family
IPR000378	Opsin red/green sensitive	Family
IPR000380	DNA topoisomerase, type IA	Family
IPR000381	Inhibin, beta B subunit	Family
IPR000382	Peptidase S39B, luteovirus	Domain
IPR000385	MoaA/nifB/pqqE, iron-sulphur binding, conserved site	Conserved_site
IPR000388	Sulphonylurea receptor	Family
IPR000389	Stress induced protein	Family
IPR000391	Aromatic-ring-hydroxylating dioxygenase, beta subunit	Family
IPR000393	Neuropeptide Y5 receptor	Family
IPR000396	Cyclic-AMP phosphodiesterase, class-II	Family
IPR000398	Thymidylate synthase	Family
IPR000400	Glycoside hydrolase, family 46	Family
IPR000404	Flavivirus non-structural protein NS4A	Domain
IPR000405	Galanin receptor family	Family
IPR000408	Regulator of chromosome condensation, RCC1	Repeat
IPR002379	V-ATPase proteolipid subunit C-like domain	Domain
IPR002381	Ribonuclease phosphorolytic, bacterial-type	Family
IPR023645	D-aminopeptidase	Family
IPR002389	Annexin, type II	Family
IPR002393	Annexin, type VI	Family
IPR002395	HMW kininogen	Family
IPR002396	Selectin superfamily	Family
IPR002403	Cytochrome P450, E-class, group IV	Family
IPR002404	Insulin receptor substrate-1, PTB	Domain
IPR002407	Natriuretic peptide, atrial type	Family
IPR002409	Aflatoxin biosynthesis regulatory protein	Family
IPR002411	Cereal allergen/alpha-amylase inhibitor, rice-type	Family
IPR002416	Type II secretion system protein H	Family
IPR002418	Transcription regulator Myc	Family
IPR001595	Mycoplasma-specific lipoprotein, type 3	Family
IPR000015	Outer membrane usher protein	Family
IPR002426	Alcohol dehydrogenase, Ceratitis-type	Family
IPR002427	Alcohol dehydrogenase-related	Family
IPR002424	Alcohol dehydrogenase, insect-type	Family
IPR002425	Alcohol dehydrogenase, Drosophila-type	Family
IPR002429	Cytochrome c oxidase subunit II C-terminal	Domain
IPR002433	Ornithine decarboxylase	Family
IPR002436	Sodium:neurotransmitter symporter, dopamine	Family
IPR002439	Glucose transporter, type 1 (GLUT1)	Family
IPR002440	Glucose transporter, type 2 (GLUT2)	Family
IPR002441	Glucose transporter, type 4 (GLUT4)	Family
IPR002443	Na/K/Cl co-transporter	Family
IPR002445	Na/K/Cl co-transporter 2	Family
IPR002446	Lipocalin, bacterial	Family
IPR002447	Beta-lactoglobulin	Family
IPR002448	Odour-binding protein	Family
IPR002449	Retinol binding protein/Purpurin	Family
IPR002450	von Ebner's gland protein/ Bos/Can allergen	Family
IPR002453	Beta tubulin	Family
IPR002454	Gamma tubulin	Family
IPR002455	GPCR, family 3, gamma-aminobutyric acid receptor, type B	Family
